2026-03-10T15:24:21.853Z,0,0,0,0

2026-03-10T15:24:31.862Z,0,0,0,0

2026-03-10T15:24:41.879Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:24:51.867Z,0,0,0,0

2026-03-10T15:25:01.894Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:25:11.877Z,0,0,0,0

2026-03-10T15:25:21.899Z,0,0,0,0

2026-03-10T15:25:31.899Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:25:41.892Z,0,0,0,0

2026-03-10T15:25:51.921Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:26:01.905Z,0,0,0,0

2026-03-10T15:26:11.913Z,0,0,0,0

2026-03-10T15:26:21.939Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:26:31.955Z,0,0,0,0

2026-03-10T15:26:41.947Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:26:51.969Z,0,0,0,0

2026-03-10T15:27:01.944Z,0,0,0,0

2026-03-10T15:27:11.968Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:27:21.976Z,0,0,0,0

2026-03-10T15:27:31.979Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:27:41.988Z,0,0,0,0

2026-03-10T15:27:52.014Z,0,0,0,0

2026-03-10T15:28:02.012Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:28:12.037Z,0,0,0,0

2026-03-10T15:28:22.050Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:28:32.031Z,0,0,0,0

2026-03-10T15:28:42.067Z,0,0,0,0

2026-03-10T15:28:52.056Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:29:02.078Z,0,0,0,0

2026-03-10T15:29:12.065Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:29:22.067Z,0,0,0,0

2026-03-10T15:29:32.087Z,0,0,0,0

2026-03-10T15:29:42.083Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:29:52.095Z,0,0,0,0

2026-03-10T15:30:02.103Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:30:12.103Z,0,0,0,0

2026-03-10T15:30:22.120Z,0,0,0,0

2026-03-10T15:30:32.113Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:30:42.119Z,0,0,0,0

2026-03-10T15:30:52.172Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:31:02.181Z,0,0,0,0

2026-03-10T15:31:12.189Z,0,0,0,0

2026-03-10T15:31:22.201Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:31:32.210Z,0,0,0,0

2026-03-10T15:31:42.221Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:31:52.228Z,0,0,0,0

2026-03-10T15:32:02.238Z,0,0,0,0

2026-03-10T15:32:12.246Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:32:22.240Z,0,0,0,0

2026-03-10T15:32:32.254Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:32:42.251Z,0,0,0,0

2026-03-10T15:32:52.258Z,0,0,0,0

2026-03-10T15:33:02.267Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:33:12.281Z,0,0,0,0

2026-03-10T15:33:22.290Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:33:32.283Z,0,0,0,0

2026-03-10T15:33:42.309Z,0,0,0,0

2026-03-10T15:33:52.333Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:34:02.323Z,0,0,0,0

2026-03-10T15:34:12.345Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:34:22.342Z,0,0,0,0

2026-03-10T15:34:32.342Z,0,0,0,0

2026-03-10T15:34:42.356Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:34:52.380Z,0,0,0,0

2026-03-10T15:35:02.383Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:35:12.386Z,0,0,0,0

2026-03-10T15:35:22.375Z,0,0,0,0

2026-03-10T15:35:32.396Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:35:42.388Z,0,0,0,0

2026-03-10T15:35:52.411Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:36:02.399Z,0,0,0,0

2026-03-10T15:36:12.423Z,0,0,0,0

2026-03-10T15:36:22.429Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:36:32.430Z,0,0,0,0

2026-03-10T15:36:42.445Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:36:52.428Z,0,0,0,0

2026-03-10T15:37:02.435Z,0,0,0,0

2026-03-10T15:37:12.444Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:37:22.438Z,0,0,0,0

2026-03-10T15:37:32.452Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:37:42.477Z,0,0,0,0

2026-03-10T15:37:52.458Z,0,0,0,0

2026-03-10T15:38:02.491Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:38:12.503Z,0,0,0,0

2026-03-10T15:38:22.516Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:38:32.501Z,0,0,0,0

2026-03-10T15:38:42.508Z,0,0,0,0

2026-03-10T15:38:52.511Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:39:02.512Z,0,0,0,0

2026-03-10T15:39:12.541Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:39:22.547Z,0,0,0,0

2026-03-10T15:39:32.546Z,0,0,0,0

2026-03-10T15:39:42.561Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:39:52.578Z,0,0,0,0

2026-03-10T15:40:02.562Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:40:12.565Z,0,0,0,0

2026-03-10T15:40:22.605Z,0,0,0,0

2026-03-10T15:40:32.615Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:40:42.621Z,0,0,0,0

2026-03-10T15:40:52.609Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:41:02.611Z,0,0,0,0

2026-03-10T15:41:17.230Z,0,0,0,0

2026-03-10T15:41:27.252Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:41:37.280Z,0,0,0,0

2026-03-10T15:41:47.262Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:41:57.259Z,0,0,0,0

2026-03-10T15:42:07.251Z,0,0,0,0

2026-03-10T15:42:17.255Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:42:27.277Z,0,0,0,0

2026-03-10T15:42:37.266Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:42:47.301Z,0,0,0,0

2026-03-10T15:42:57.270Z,0,0,0,0

2026-03-10T15:43:15.389Z,0,0,0,0

2026-03-10T15:43:25.369Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:43:35.379Z,0,0,0,0

2026-03-10T15:43:45.405Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:43:55.406Z,0,0,0,0

2026-03-10T15:44:05.399Z,0,0,0,0

2026-03-10T15:44:15.391Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:44:25.432Z,0,0,0,0

2026-03-10T15:44:35.426Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:44:45.408Z,0,0,0,0

2026-03-10T15:44:56.278Z,0,0,0,0

2026-03-10T15:45:06.312Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:45:16.299Z,0,0,0,0

2026-03-10T15:45:26.299Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:45:36.336Z,0,0,0,0

2026-03-10T15:45:46.330Z,0,0,0,0

2026-03-10T15:45:56.338Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:46:06.354Z,0,0,0,0

2026-03-10T15:46:16.342Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:46:26.378Z,0,0,0,0

2026-03-10T15:46:36.394Z,0,0,0,0

2026-03-10T15:46:54.088Z,0,0,0,0

2026-03-10T15:47:04.107Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:47:14.128Z,0,0,0,0

2026-03-10T15:47:24.145Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:47:34.155Z,0,0,0,0

2026-03-10T15:47:44.149Z,0,0,0,0

2026-03-10T15:47:54.186Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:48:04.154Z,0,0,0,0

2026-03-10T15:48:14.192Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:48:24.181Z,0,0,0,0

2026-03-10T15:48:34.211Z,0,0,0,0

2026-03-10T15:48:44.220Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:48:54.226Z,0,0,0,0

2026-03-10T15:49:04.200Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:49:14.216Z,0,0,0,0

2026-03-10T15:49:24.256Z,0,0,0,0

2026-03-10T15:49:34.261Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:49:44.245Z,0,0,0,0

2026-03-10T15:49:54.261Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:50:04.260Z,0,0,0,0

2026-03-10T15:50:14.278Z,0,0,0,0

2026-03-10T15:50:24.281Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:50:34.270Z,0,0,0,0

2026-03-10T15:50:44.292Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:50:54.292Z,0,0,0,0

2026-03-10T15:51:04.294Z,0,0,0,0

2026-03-10T15:51:14.313Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:51:24.310Z,0,0,0,0

2026-03-10T15:51:34.338Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:51:44.338Z,0,0,0,0

2026-03-10T15:51:54.368Z,0,0,0,0

2026-03-10T15:52:04.373Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:52:14.376Z,0,0,0,0

2026-03-10T15:52:24.370Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:52:34.377Z,0,0,0,0

2026-03-10T15:52:44.394Z,0,0,0,0

2026-03-10T15:52:54.404Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:53:04.410Z,0,0,0,0

2026-03-10T15:53:14.406Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:53:24.432Z,0,0,0,0

2026-03-10T15:53:34.425Z,0,0,0,0

2026-03-10T15:53:44.428Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:53:54.444Z,0,0,0,0

2026-03-10T15:54:04.434Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:54:14.455Z,0,0,0,0

2026-03-10T15:54:24.449Z,0,0,0,0

2026-03-10T15:54:34.470Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:54:44.461Z,0,0,0,0

2026-03-10T15:54:54.461Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:55:04.484Z,0,0,0,0

2026-03-10T15:55:14.493Z,0,0,0,0

2026-03-10T15:55:24.504Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:55:34.500Z,0,0,0,0

2026-03-10T15:55:44.524Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:55:54.526Z,0,0,0,0

2026-03-10T15:56:04.538Z,0,0,0,0

2026-03-10T15:56:14.533Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:56:24.555Z,0,0,0,0

2026-03-10T15:56:34.562Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:56:44.572Z,0,0,0,0

2026-03-10T15:56:54.566Z,0,0,0,0

2026-03-10T15:57:04.581Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:57:14.599Z,0,0,0,0

2026-03-10T15:57:24.594Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:57:34.620Z,0,0,0,0

2026-03-10T15:57:44.606Z,0,0,0,0

2026-03-10T15:57:54.630Z,0,0,0,0

`timestamp,reg0,reg1,reg2,reg3\n`
2026-03-10T15:58:04.632Z,0,0,0,0

